number,name,status
380,Syntax for Delegating to a Subgenerator,F
381,Mirroring infrastructure for PyPI,W
382,Namespace Packages,R
383,Non-decodable Bytes in System Character Interfaces,F
384,Defining a Stable ABI,F
385,Migrating from Subversion to Mercurial,F
386,Changing the version comparison module in Distutils,S
387,Backwards Compatibility Policy,
389,argparse - New Command Line Parsing Module,F
390,Static metadata for Distutils,R
391,Dictionary-Based Configuration For Logging,F
392,Python 3.2 Release Schedule,F
393,Flexible String Representation,F
394,The “python” Command on Unix-Like Systems,
395,Qualified Names for Modules,W
396,Module Version Numbers,R
397,Python launcher for Windows,F
398,Python 3.3 Release Schedule,F
399,Pure Python/C Accelerator Module Compatibility Requirements,F
400,Deprecate codecs.StreamReader and codecs.StreamWriter,D
401,BDFL Retirement,R
402,Simplified Package Layout and Partitioning,R
403,General purpose decorator clause (aka “@in” clause),D
404,Python 2.8 Un-release Schedule,F
405,Python Virtual Environments,F
406,Improved Encapsulation of Import State,W
407,New release cycle and introducing long-term support versions,D
408,Standard library __preview__ package,R
409,Suppressing exception context,F
410,Use decimal.Decimal type for timestamps,R
411,Provisional packages in the Python standard library,
412,Key-Sharing Dictionary,F
413,Faster evolution of the Python Standard Library,W
414,Explicit Unicode Literal for Python 3.3,F
415,Implement context suppression with exception attributes,F
416,Add a frozendict builtin type,R
417,Including mock in the Standard Library,F
418,"Add monotonic time, performance counter, and process time functions",F
419,Protecting cleanup statements from interruptions,D
420,Implicit Namespace Packages,F
421,Adding sys.implementation,F
422,Simpler customisation of class creation,W
423,Naming conventions and recipes related to packaging,D
424,A method for exposing a length hint,F
425,Compatibility Tags for Built Distributions,F
426,Metadata for Python Software Packages 2.0,W
427,The Wheel Binary Package Format 1.0,F
428,The pathlib module – object-oriented filesystem paths,F
429,Python 3.4 Release Schedule,F
430,Migrating to Python 3 as the default online documentation,F
431,Time zone support improvements,S
432,Restructuring the CPython startup sequence,W
433,Easier suppression of file descriptor inheritance,S
434,IDLE Enhancement Exception for All Branches,
435,Adding an Enum type to the Python standard library,F
436,The Argument Clinic DSL,F
437,"A DSL for specifying signatures, annotations and argument converters",R
438,Transitioning to release-file hosting on PyPI,S
439,Inclusion of implicit pip bootstrap in Python installation,R
440,Version Identification and Dependency Specification,F
441,Improving Python ZIP Application Support,F
442,Safe object finalization,F
443,Single-dispatch generic functions,F
444,Python Web3 Interface,D
445,Add new APIs to customize Python memory allocators,F
446,Make newly created file descriptors non-inheritable,F
447,Add __getdescriptor__ method to metaclass,D
448,Additional Unpacking Generalizations,F
